Koala,Riding a bicycle,Tropical rainforest
Red panda,Playing a musical instrument,Temperate forest
Hedgehog,Cooking a meal,Deciduous forest
Squirrel,Reading a book,Coniferous forest
Fennec fox,Jogging in the park,Taiga (boreal forest)
Chinchilla,Painting a picture,Grasslands
Guinea pig,Dancing at a club,Prairies
Bunny (rabbit),Attending a yoga class,Steppes
Tiger,Taking photographs,Alpine tundra
Meerkat,Traveling with a backpack,Arctic tundra
Prairie dog,Surfing at the beach,Chaparral (Mediterranean shrubland)
Sugar glider,Skiing down a slope,Wetlands
Lion,Fishing by the lakeside,Mangrove swamps
Hamster,Planting flowers in the garden,Salt marshes
Gerbil,Meditating in a quiet room,Peat bogs
Dormouse,Building a sandcastle,Desert
Otter,Shopping for groceries,Savanna
Pygmy marmoset,Driving a taxi,Cerrado
Pygmy goat,Attending a theatre play,Montane forests
Quokka,Repairing a leaky faucet,Cloud forests
Tarsier,Playing chess in the park,Tropical dry forests
Wallaby,Tailoring clothes,Temperate woodlands
Cottontail rabbit,Decorating a room,Moors and heaths
Groundhog,Giving a public speech,Maquis shrubland
Raccoon,Baking a cake,Sand dunes
Pangolin,Crafting pottery,Pampas
Ocelot,Hosting a podcast,bamboo forest
Chipmunk,Teaching a class,Patagonian steppes
Jerboa,Participating in a protest march,Pine barrens
Potoroo,Assembling furniture,Bamboo forests
Lesser bushbaby,Writing in a diary,Rain shadow valleys
Kinkajou,Playing video games,Fjord landscapes
Capybara,Climbing a mountain,Gorges and canyons
Platypus,Going on a date,Limestone karst landscapes
Tree kangaroo,Flying a kite,Caves and caverns
Mole,Playing beach volleyball,High mountain meadows
Ring-tailed lemur,Hiking in the forest,Arctic ice caps
Skunk,Giving a haircut,Coastal cliffs and bluffs
Cuscus,Barbecuing in the backyard,Highland plateaus
Agouti,Drawing a caricature,River valleys
Long-eared jerboa,Watching a sunset,Oasis
Slow loris,Knitting a scarf,Geothermal fields
Chevrotain,Going horseback riding,Volcanic landscapes
Sun bear,Singing karaoke,Mudflats
Golden lion tamarin,Building a snowman,Badlands
Flying squirrel,Ice skating at a rink,Ancient woodland
Degu,Performing magic tricks,Fenlands
Short-beaked echidna,Rock climbing indoors,Grassland plateaus
Aardvark,Scuba diving in the ocean,Scrublands
Bat-eared fox,Organizing a garage sale,Glacial valleys
